model,fold_subject,n,apcer,bpcer,acer,accuracy,n_live,n_attack,live_as_live,live_as_attack,attack_as_live,attack_as_attack,roc_auc
B0_majority,s001,2,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5
B0_majority,s002,2,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5
B0_majority,s003,2,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5
B0_majority,s004,2,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5
B0_majority,s005,2,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5
B0_majority,s006,2,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5
B1_static2d,s001,2,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0
B1_static2d,s002,2,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0
B1_static2d,s003,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
B1_static2d,s004,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
B1_static2d,s005,2,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0
B1_static2d,s006,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
M1_pls,s001,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
M1_pls,s002,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
M1_pls,s003,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
M1_pls,s004,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
M1_pls,s005,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
M1_pls,s006,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
