sigma,repeat,model,apcer,bpcer,acer,accuracy
0.0,0,B0_majority,0.0,1.0,0.5,0.5
0.0,0,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.0,0,M1_pls,0.0,0.0,0.0,1.0
0.001,0,B0_majority,0.0,1.0,0.5,0.5
0.001,0,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,0,M1_pls,0.0,0.0,0.0,1.0
0.001,1,B0_majority,0.0,1.0,0.5,0.5
0.001,1,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,1,M1_pls,0.0,0.0,0.0,1.0
0.001,2,B0_majority,0.0,1.0,0.5,0.5
0.001,2,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,2,M1_pls,0.0,0.0,0.0,1.0
0.001,3,B0_majority,0.0,1.0,0.5,0.5
0.001,3,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,3,M1_pls,0.0,0.0,0.0,1.0
0.001,4,B0_majority,0.0,1.0,0.5,0.5
0.001,4,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,4,M1_pls,0.0,0.0,0.0,1.0
0.001,5,B0_majority,0.0,1.0,0.5,0.5
0.001,5,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,5,M1_pls,0.0,0.0,0.0,1.0
0.001,6,B0_majority,0.0,1.0,0.5,0.5
0.001,6,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,6,M1_pls,0.0,0.0,0.0,1.0
0.001,7,B0_majority,0.0,1.0,0.5,0.5
0.001,7,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,7,M1_pls,0.0,0.0,0.0,1.0
0.001,8,B0_majority,0.0,1.0,0.5,0.5
0.001,8,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,8,M1_pls,0.0,0.0,0.0,1.0
0.001,9,B0_majority,0.0,1.0,0.5,0.5
0.001,9,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,9,M1_pls,0.0,0.0,0.0,1.0
0.001,10,B0_majority,0.0,1.0,0.5,0.5
0.001,10,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,10,M1_pls,0.0,0.0,0.0,1.0
0.001,11,B0_majority,0.0,1.0,0.5,0.5
0.001,11,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,11,M1_pls,0.0,0.0,0.0,1.0
0.001,12,B0_majority,0.0,1.0,0.5,0.5
0.001,12,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,12,M1_pls,0.0,0.0,0.0,1.0
0.001,13,B0_majority,0.0,1.0,0.5,0.5
0.001,13,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,13,M1_pls,0.0,0.0,0.0,1.0
0.001,14,B0_majority,0.0,1.0,0.5,0.5
0.001,14,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,14,M1_pls,0.0,0.0,0.0,1.0
0.001,15,B0_majority,0.0,1.0,0.5,0.5
0.001,15,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,15,M1_pls,0.0,0.0,0.0,1.0
0.001,16,B0_majority,0.0,1.0,0.5,0.5
0.001,16,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,16,M1_pls,0.0,0.0,0.0,1.0
0.001,17,B0_majority,0.0,1.0,0.5,0.5
0.001,17,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,17,M1_pls,0.0,0.0,0.0,1.0
0.001,18,B0_majority,0.0,1.0,0.5,0.5
0.001,18,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,18,M1_pls,0.0,0.0,0.0,1.0
0.001,19,B0_majority,0.0,1.0,0.5,0.5
0.001,19,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.001,19,M1_pls,0.0,0.0,0.0,1.0
0.002,0,B0_majority,0.0,1.0,0.5,0.5
0.002,0,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,0,M1_pls,0.0,0.0,0.0,1.0
0.002,1,B0_majority,0.0,1.0,0.5,0.5
0.002,1,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,1,M1_pls,0.0,0.0,0.0,1.0
0.002,2,B0_majority,0.0,1.0,0.5,0.5
0.002,2,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,2,M1_pls,0.0,0.0,0.0,1.0
0.002,3,B0_majority,0.0,1.0,0.5,0.5
0.002,3,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,3,M1_pls,0.0,0.0,0.0,1.0
0.002,4,B0_majority,0.0,1.0,0.5,0.5
0.002,4,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,4,M1_pls,0.0,0.0,0.0,1.0
0.002,5,B0_majority,0.0,1.0,0.5,0.5
0.002,5,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,5,M1_pls,0.0,0.0,0.0,1.0
0.002,6,B0_majority,0.0,1.0,0.5,0.5
0.002,6,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,6,M1_pls,0.0,0.0,0.0,1.0
0.002,7,B0_majority,0.0,1.0,0.5,0.5
0.002,7,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,7,M1_pls,0.0,0.0,0.0,1.0
0.002,8,B0_majority,0.0,1.0,0.5,0.5
0.002,8,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,8,M1_pls,0.0,0.0,0.0,1.0
0.002,9,B0_majority,0.0,1.0,0.5,0.5
0.002,9,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,9,M1_pls,0.0,0.0,0.0,1.0
0.002,10,B0_majority,0.0,1.0,0.5,0.5
0.002,10,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,10,M1_pls,0.0,0.0,0.0,1.0
0.002,11,B0_majority,0.0,1.0,0.5,0.5
0.002,11,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,11,M1_pls,0.0,0.0,0.0,1.0
0.002,12,B0_majority,0.0,1.0,0.5,0.5
0.002,12,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,12,M1_pls,0.0,0.0,0.0,1.0
0.002,13,B0_majority,0.0,1.0,0.5,0.5
0.002,13,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,13,M1_pls,0.0,0.0,0.0,1.0
0.002,14,B0_majority,0.0,1.0,0.5,0.5
0.002,14,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,14,M1_pls,0.0,0.0,0.0,1.0
0.002,15,B0_majority,0.0,1.0,0.5,0.5
0.002,15,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,15,M1_pls,0.0,0.0,0.0,1.0
0.002,16,B0_majority,0.0,1.0,0.5,0.5
0.002,16,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,16,M1_pls,0.0,0.0,0.0,1.0
0.002,17,B0_majority,0.0,1.0,0.5,0.5
0.002,17,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,17,M1_pls,0.0,0.0,0.0,1.0
0.002,18,B0_majority,0.0,1.0,0.5,0.5
0.002,18,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,18,M1_pls,0.0,0.0,0.0,1.0
0.002,19,B0_majority,0.0,1.0,0.5,0.5
0.002,19,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.002,19,M1_pls,0.0,0.0,0.0,1.0
0.005,0,B0_majority,0.0,1.0,0.5,0.5
0.005,0,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,0,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,1,B0_majority,0.0,1.0,0.5,0.5
0.005,1,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,1,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,2,B0_majority,0.0,1.0,0.5,0.5
0.005,2,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,2,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,3,B0_majority,0.0,1.0,0.5,0.5
0.005,3,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,3,M1_pls,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
0.005,4,B0_majority,0.0,1.0,0.5,0.5
0.005,4,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,4,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,5,B0_majority,0.0,1.0,0.5,0.5
0.005,5,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,5,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,6,B0_majority,0.0,1.0,0.5,0.5
0.005,6,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,6,M1_pls,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
0.005,7,B0_majority,0.0,1.0,0.5,0.5
0.005,7,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,7,M1_pls,0.0,0.16666666666666666,0.08333333333333333,0.9166666666666666
0.005,8,B0_majority,0.0,1.0,0.5,0.5
0.005,8,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,8,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,9,B0_majority,0.0,1.0,0.5,0.5
0.005,9,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,9,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,10,B0_majority,0.0,1.0,0.5,0.5
0.005,10,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,10,M1_pls,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
0.005,11,B0_majority,0.0,1.0,0.5,0.5
0.005,11,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,11,M1_pls,0.0,0.0,0.0,1.0
0.005,12,B0_majority,0.0,1.0,0.5,0.5
0.005,12,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,12,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,13,B0_majority,0.0,1.0,0.5,0.5
0.005,13,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,13,M1_pls,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
0.005,14,B0_majority,0.0,1.0,0.5,0.5
0.005,14,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,14,M1_pls,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
0.005,15,B0_majority,0.0,1.0,0.5,0.5
0.005,15,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,15,M1_pls,0.0,0.16666666666666666,0.08333333333333333,0.9166666666666666
0.005,16,B0_majority,0.0,1.0,0.5,0.5
0.005,16,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,16,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,17,B0_majority,0.0,1.0,0.5,0.5
0.005,17,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,17,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.005,18,B0_majority,0.0,1.0,0.5,0.5
0.005,18,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,18,M1_pls,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
0.005,19,B0_majority,0.0,1.0,0.5,0.5
0.005,19,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.005,19,M1_pls,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
0.01,0,B0_majority,0.0,1.0,0.5,0.5
0.01,0,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,0,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.01,1,B0_majority,0.0,1.0,0.5,0.5
0.01,1,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,1,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.01,2,B0_majority,0.0,1.0,0.5,0.5
0.01,2,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,2,M1_pls,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,3,B0_majority,0.0,1.0,0.5,0.5
0.01,3,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,3,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.01,4,B0_majority,0.0,1.0,0.5,0.5
0.01,4,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,4,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.01,5,B0_majority,0.0,1.0,0.5,0.5
0.01,5,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,5,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.01,6,B0_majority,0.0,1.0,0.5,0.5
0.01,6,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,6,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.01,7,B0_majority,0.0,1.0,0.5,0.5
0.01,7,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,7,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.01,8,B0_majority,0.0,1.0,0.5,0.5
0.01,8,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.01,8,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
