amplitude_deg,regime,G1_live,G1_planar,G1_separation,G2_live,G2_planar
0.0,только поворот,0.0,0.0,,0.0,0.0
0.0,только наклон,0.0,0.0,,0.0,0.0
0.0,поворот + наклон,0.0,0.0,,0.0,0.0
5.0,только поворот,8.29620985113638e-08,6.185338796924836e-08,1.341270078085457,0.004725206914815641,5.9952716251056984e-05
5.0,только наклон,1.4908949307954264e-06,0.0,inf,6.4084701634464316e-18,8.375645062716188e-20
5.0,поворот + наклон,6.61701055209624e-07,6.15487232316344e-08,10.750849415988004,0.004668329423137741,6.118396406700109e-05
10.0,только поворот,1.3348446940365989e-06,9.969079185097104e-07,1.3389849445995716,0.019089398517510826,0.00023870911062116298
10.0,только наклон,9.336615487536476e-06,0.0,inf,2.5250120585114515e-17,3.5463320818237414e-19
10.0,поворот + наклон,5.4041826195304015e-06,9.771877489607693e-07,5.530342173525715,0.018191106175867514,0.0002586560792337346
15.0,только поворот,6.822721356084454e-06,5.10997682917642e-06,1.3351765740166925,0.043628531842991605,0.0005329846751718888
15.0,только наклон,3.3502234670731915e-05,0.0,inf,5.5333867931365904e-17,8.705271086401698e-19
15.0,поворот + наклон,2.2775067646882458e-05,4.881060033213265e-06,4.666008508788886,0.03918854035457483,0.0006359585635939416
20.0,только поворот,2.186645947240852e-05,1.6442871413157988e-05,1.3298443394084103,0.07911028614095383,0.0009373743241422525
20.0,только наклон,9.009037387138348e-05,0.0,inf,9.457881026950558e-17,1.7247165799000485e-18
20.0,поворот + наклон,6.797574545643437e-05,1.5121918361736236e-05,4.495180031419617,0.06560204249291793,0.0012710123792544965
25.0,только поворот,5.440615621544729e-05,4.112377189971837e-05,1.3229855556080419,0.12624805115565882,0.0014444556817036732
25.0,только наклон,0.00020060861983415938,0.0,inf,1.399909980673502e-16,3.0405860157135308e-18
25.0,поворот + наклон,0.00016440743076333962,3.590791804560627e-05,4.5785843265690715,0.09507653229428407,0.0022820165489815954
30.0,только поворот,0.00011564646263072196,8.797126003544835e-05,1.314593681892493,0.1851038615886596,0.002044932842879827
30.0,только наклон,0.00039099454918921546,0.0,inf,1.8782960866619742e-16,4.963396206763802e-18
30.0,поворот + наклон,0.0003459842072676666,7.172296961709522e-05,4.823896850824217,0.12543068288735854,0.0038313012299046358
