sigma,repeat,model,apcer,bpcer,acer,accuracy
0.0,0,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.0,0,B1_static2d,0.15625,0.125,0.140625,0.8541666666666666
0.0,0,M1_pls,0.15625,0.125,0.140625,0.8541666666666666
0.0,1,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.0,1,B1_static2d,0.1875,0.125,0.15625,0.8333333333333334
0.0,1,M1_pls,0.0625,0.125,0.09375,0.9166666666666666
0.0,2,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.0,2,B1_static2d,0.125,0.1875,0.15625,0.8541666666666666
0.0,2,M1_pls,0.09375,0.0625,0.078125,0.9166666666666666
0.001,0,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.001,0,B1_static2d,0.03125,0.125,0.078125,0.9375
0.001,0,M1_pls,0.0,0.0,0.0,1.0
0.001,1,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.001,1,B1_static2d,0.21875,0.1875,0.203125,0.7916666666666666
0.001,1,M1_pls,0.09375,0.125,0.109375,0.8958333333333334
0.001,2,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.001,2,B1_static2d,0.03125,0.125,0.078125,0.9375
0.001,2,M1_pls,0.15625,0.1875,0.171875,0.8333333333333334
0.002,0,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.002,0,B1_static2d,0.03125,0.125,0.078125,0.9375
0.002,0,M1_pls,0.0625,0.125,0.09375,0.9166666666666666
0.002,1,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.002,1,B1_static2d,0.21875,0.1875,0.203125,0.7916666666666666
0.002,1,M1_pls,0.125,0.0625,0.09375,0.8958333333333334
0.002,2,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.002,2,B1_static2d,0.03125,0.125,0.078125,0.9375
0.002,2,M1_pls,0.125,0.125,0.125,0.875
0.005,0,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.005,0,B1_static2d,0.03125,0.125,0.078125,0.9375
0.005,0,M1_pls,0.125,0.1875,0.15625,0.8541666666666666
0.005,1,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.005,1,B1_static2d,0.21875,0.1875,0.203125,0.7916666666666666
0.005,1,M1_pls,0.125,0.125,0.125,0.875
0.005,2,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.005,2,B1_static2d,0.03125,0.125,0.078125,0.9375
0.005,2,M1_pls,0.15625,0.1875,0.171875,0.8333333333333334
0.01,0,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.01,0,B1_static2d,0.03125,0.125,0.078125,0.9375
0.01,0,M1_pls,0.125,0.1875,0.15625,0.8541666666666666
0.01,1,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.01,1,B1_static2d,0.21875,0.1875,0.203125,0.7916666666666666
0.01,1,M1_pls,0.1875,0.1875,0.1875,0.8125
0.01,2,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.01,2,B1_static2d,0.03125,0.125,0.078125,0.9375
0.01,2,M1_pls,0.15625,0.1875,0.171875,0.8333333333333334
0.02,0,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.02,0,B1_static2d,0.03125,0.125,0.078125,0.9375
0.02,0,M1_pls,0.125,0.1875,0.15625,0.8541666666666666
0.02,1,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.02,1,B1_static2d,0.21875,0.1875,0.203125,0.7916666666666666
0.02,1,M1_pls,0.21875,0.1875,0.203125,0.7916666666666666
0.02,2,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.02,2,B1_static2d,0.03125,0.125,0.078125,0.9375
0.02,2,M1_pls,0.15625,0.1875,0.171875,0.8333333333333334
0.05,0,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.05,0,B1_static2d,0.03125,0.125,0.078125,0.9375
0.05,0,M1_pls,0.125,0.1875,0.15625,0.8541666666666666
0.05,1,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.05,1,B1_static2d,0.21875,0.1875,0.203125,0.7916666666666666
0.05,1,M1_pls,0.21875,0.1875,0.203125,0.7916666666666666
0.05,2,B0_majority,0.0,1.0,0.5,0.6666666666666666
0.05,2,B1_static2d,0.03125,0.125,0.078125,0.9375
0.05,2,M1_pls,0.15625,0.1875,0.171875,0.8333333333333334
