n_subjects,seed,rule,model,apcer,bpcer,acer,accuracy,roc_auc
4,42,min_acer,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.859375
4,42,min_acer,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.8203125
4,42,min_acer_mid,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.859375
4,42,min_acer_mid,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.8203125
4,42,eer,B1_static2d,0.125,0.125,0.125,0.875,0.859375
4,42,eer,M1_pls,0.25,0.25,0.25,0.75,0.8203125
4,42,class_midpoint,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.859375
4,42,class_midpoint,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.8203125
4,42,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.859375
4,42,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.8203125
4,7961,min_acer,B1_static2d,0.25,0.25,0.25,0.75,0.7734375
4,7961,min_acer,M1_pls,0.1875,0.0,0.09375,0.875,0.8203125
4,7961,min_acer_mid,B1_static2d,0.25,0.25,0.25,0.75,0.7734375
4,7961,min_acer_mid,M1_pls,0.1875,0.0,0.09375,0.875,0.8203125
4,7961,eer,B1_static2d,0.25,0.25,0.25,0.75,0.7734375
4,7961,eer,M1_pls,0.1875,0.0,0.09375,0.875,0.8203125
4,7961,class_midpoint,B1_static2d,0.0,0.375,0.1875,0.875,0.7734375
4,7961,class_midpoint,M1_pls,0.1875,0.75,0.46875,0.625,0.8203125
4,7961,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.7734375
4,7961,fixed_zero,M1_pls,0.25,0.25,0.25,0.75,0.8203125
4,15880,min_acer,B1_static2d,0.25,0.25,0.25,0.75,0.7890625
4,15880,min_acer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,15880,min_acer_mid,B1_static2d,0.25,0.25,0.25,0.75,0.7890625
4,15880,min_acer_mid,M1_pls,0.0,0.0,0.0,1.0,1.0
4,15880,eer,B1_static2d,0.1875,0.25,0.21875,0.7916666666666666,0.7890625
4,15880,eer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,15880,class_midpoint,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.7890625
4,15880,class_midpoint,M1_pls,0.0,0.25,0.125,0.9166666666666666,1.0
4,15880,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.7890625
4,15880,fixed_zero,M1_pls,0.0,0.0,0.0,1.0,1.0
4,23799,min_acer,B1_static2d,0.25,0.625,0.4375,0.625,0.5625
4,23799,min_acer,M1_pls,0.5,0.375,0.4375,0.5416666666666666,0.953125
4,23799,min_acer_mid,B1_static2d,0.25,0.625,0.4375,0.625,0.5625
4,23799,min_acer_mid,M1_pls,0.5,0.375,0.4375,0.5416666666666666,0.953125
4,23799,eer,B1_static2d,0.125,0.5,0.3125,0.75,0.5625
4,23799,eer,M1_pls,0.0,0.125,0.0625,0.9583333333333334,0.953125
4,23799,class_midpoint,B1_static2d,0.125,0.5,0.3125,0.75,0.5625
4,23799,class_midpoint,M1_pls,0.0,0.375,0.1875,0.875,0.953125
4,23799,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.5625
4,23799,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.953125
