fold_subject,model,tau,direction,threshold_rule,n_train_videos,n_train_subjects
s001,B0_majority,0.5,live_high,majority_class,10,5
s001,B1_static2d,0.48525538307191707,live_high,train_eer,10,5
s001,M1_pls,-0.15347302236104887,live_high,inner_loso_eer,10,5
s002,B0_majority,0.5,live_high,majority_class,10,5
s002,B1_static2d,0.40856795328513695,live_high,train_eer,10,5
s002,M1_pls,-0.2525925225594383,live_high,inner_loso_eer,10,5
s003,B0_majority,0.5,live_high,majority_class,10,5
s003,B1_static2d,0.4137667368628408,live_high,train_eer,10,5
s003,M1_pls,-0.08454421241166879,live_high,inner_loso_eer,10,5
s004,B0_majority,0.5,live_high,majority_class,10,5
s004,B1_static2d,0.41321372309188126,live_high,train_eer,10,5
s004,M1_pls,-0.08663773554792145,live_high,inner_loso_eer,10,5
s005,B0_majority,0.5,live_high,majority_class,10,5
s005,B1_static2d,0.39293212482592965,live_high,train_eer,10,5
s005,M1_pls,-0.1000459788349706,live_high,inner_loso_eer,10,5
s006,B0_majority,0.5,live_high,majority_class,10,5
s006,B1_static2d,0.43448655141868486,live_high,train_eer,10,5
s006,M1_pls,-0.17558871928648107,live_high,inner_loso_eer,10,5
